name,mass_kg,mean_radius_km,position_x_km,position_y_km,position_z_km,velocity_x_km,velocity_y_km,velocity_z_km
Niobe,1.94297e+18,6.143974e+01,-325801897.9993052,189787471.8720975,-37692266.734616816,-5.648104661963555,-17.236149335189552,-7.030506122101378
Feronia,1.50823e+17,2.620893e+01,-120991138.52677011,-292184469.6757016,18922312.97806755,20.226293569012974,-5.937909066754076,1.406008223859842
Klytia,1.59392e+17,2.669619e+01,165470309.56541342,-373614370.19642943,-16224344.87318178,16.00875898494162,7.726283011592581,0.23429501255664031
Galatea,1.90751e+17,2.834323e+01,142798027.35602096,-348624476.35464865,26695687.435348958,16.073174833104474,11.198173688613979,-0.41563536789260247
Eurydike,1.24299e+17,2.457250e+01,220692599.0103907,238417687.6178333,21006223.19282536,-11.989533718763806,18.36013014261051,1.5969963507190585
Freia,6.70605e+17,4.309723e+01,-361980833.98929346,-426198273.0655174,8725211.264191478,9.74787276650065,-10.911830525653379,0.517897391830442
Frigga,3.00931e+17,3.299509e+01,131525821.2359688,319652680.06724817,13391813.67780685,-19.2007476417518,8.120197798393066,0.3643335648033038
Diana,3.85893e+17,3.584671e+01,-320335850.5967212,-168114067.42713708,-44684765.28111789,5.83956920000245,-18.737186586729802,-2.1701835005149865
Eurynome,9.08797e+17,4.769242e+01,-218554688.37068588,262386557.56255177,-26844556.761133052,-17.69218230458235,-9.9430940582874,0.0685416629374275
Sappho,6.25845e+17,4.211622e+01,248667300.08907083,129874438.85895176,8523393.911119733,-8.994586254559131,21.603918289649524,-3.4234768396007116
Terpsichore,2.62100e+17,3.151007e+01,263728332.3118642,209479429.02512875,27884738.82263868,-14.318090769407204,16.251679509413,2.2716595039642824
Alkmene,4.68238e+17,3.823397e+01,462878439.0607957,-170414514.77936435,-17527347.249190543,3.5693098493412254,14.274441328177156,0.5583418867626696
Beatrix,2.44606e+17,3.079281e+01,26035349.805037506,-352239491.1277679,-28098237.78309719,19.586788539305118,-0.043574169511149945,-0.8041110647634103
Klio,1.08260e+17,2.346656e+01,215778431.08660746,-168269191.872414,-4586180.20780354,13.484678777626353,19.923642401606024,3.9445777432436753
Io,7.38698e+17,4.450916e+01,-104585922.52940467,-341153866.6601955,57459497.00723045,19.784147116537902,-2.075053711456419,2.0711928634525383
Semele,2.51459e+17,3.107773e+01,83282025.58286093,-481255102.9488918,-9539416.615670383,14.824246905369028,6.041630485404328,-1.2160409571356634
